Sentiment,L1 Cluster ID,L1 Cluster,L1 Phrase Count,L1 Review Count,L1 Rating (Phrase),L1 Rating (Review),L2 Cluster ID,L2 Cluster,L2 Phrase Count,L2 Review Count,L2 Rating (Phrase),L2 Rating (Review),L3 Cluster ID,L3 Cluster,L3 Phrase Count,L3 Review Count,L3 Rating (Review),L3 Rating (Phrase),L4 ID,L4 Phrases,Review ID,Review Rating,Verified Purchase,Recommended,Incentivized,Upvote,Downvote,AgeRange,SkinConcerns
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I14,Performance,84,74,4.928571429,4.932432432,P4L3I5, Very gentle,10,10,4.7,4.7,P4L4I858, makes it feel plump,P4R613,5,No,Yes,No,3,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I27, absorbs very well,24,24,4.958333333,4.958333333,P4L4I859, suffer from adult acne,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I13, have eczema,68,67,4.865671642,4.867647059,P4L4I860, dyshidrotic eczema,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I10, broken out of my forehead and this product made me break out,20,18,5,5,P4L4I861, bumps my rash had,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I32, absorbs it immediately,14,13,4.769230769,4.785714286,P4L4I862, skin that was flaking,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I32, absorbs it immediately,14,13,4.769230769,4.785714286,P4L4I863, oily skin but now I’m pretty sure I was,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I5, Very gentle,35,34,4.882352941,4.885714286,P4L4I864, cannot say enough good stuff,P4R614,5,No,Yes,No,9,1,,Acne
Negative,P4L1I3,Emotional,26,24,3,2.958333333,P4L2I15,Competitor,,,,,P4L3I5, Very gentle,15,14,4.857142857,4.733333333,P4L4I865, steroid cream,P4R614,5,No,Yes,No,9,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I6, price is worth it,17,17,4.294117647,4.294117647,P4L4I12, combination skin,P4R616,5,No,Yes,No,4,1,,Acne
Positive,P4L1I1,Application,440,421,4.781818182,4.790973872,P4L2I11,Application,127,121,4.779527559,4.785123967,P4L3I1, very dry T-Zone quickly,4,4,5,5,P4L4I866, using this with foundation,P4R616,5,No,Yes,No,4,1,,Acne
Negative,P4L1I2,Performance,238,225,2.319327731,2.346666667,P4L2I5,Allergy,73,70,2.438356164,2.457142857,P4L3I1, very dry T-Zone quickly,29,27,2.037037037,2,P4L4I867, peeling on my skin,P4R616,5,No,Yes,No,4,1,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I9, redness gone,38,33,4.666666667,4.710526316,P4L4I868, Super thick,P4R617,5,No,Yes,No,4,2,,Dullness
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I15, sensitive dry/combo skin,35,35,4.657142857,4.657142857,P4L4I869, very moisturizing,P4R617,5,No,Yes,No,4,2,,Dullness
Negative,P4L1I2,Performance,238,225,2.319327731,2.346666667,P4L2I2,Skin,141,135,2.319148936,2.318518519,P4L3I4, dark acne scars,10,10,3.6,3.6,P4L4I870, Definitely not for oily skin,P4R617,5,No,Yes,No,4,2,,Dullness
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I26, pcos so,8,7,5,5,P4L4I89, damaged moisture barrier,P4R622,5,No,Yes,No,10,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I26, pcos so,8,7,5,5,P4L4I871, my moisture barrier was completely healed,P4R622,5,No,Yes,No,10,0,,Acne
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I4, dark acne scars,10,10,5,5,P4L4I872, my holy grail,P4R622,5,No,Yes,No,10,0,,Acne
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I40, PLEASE bring back the tube,14,14,4.571428571,4.571428571,P4L4I156, sensitive,P4R625,1,No,No,No,21,3,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I18, laneige water cream for a year,14,13,4.692307692,4.714285714,P4L4I873, relieves irritation,P4R625,1,No,No,No,21,3,,Blackheads
Negative,P4L1I2,Performance,238,225,2.319327731,2.346666667,P4L2I2,Skin,141,135,2.319148936,2.318518519,P4L3I27, absorbs very well,6,6,1.666666667,1.666666667,P4L4I874, clogged my pores,P4R625,1,No,No,No,21,3,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I7, Age is [35],47,46,4.760869565,4.744680851,P4L4I546, hydrated,P4R626,5,Yes,Yes,No,5,0,,Aging
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I27, absorbs very well,12,11,4.909090909,4.916666667,P4L4I875, BEST face cream I have ever owned,P4R626,5,Yes,Yes,No,5,0,,Aging
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I15, sensitive dry/combo skin,35,35,4.657142857,4.657142857,P4L4I876, moisturizing cream,P4R629,5,Yes,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I3, calm any redness,37,36,4.916666667,4.918918919,P4L4I877, my cheeks are noticeably less red,P4R629,5,Yes,Yes,No,7,0,,Blackheads
Positive,P4L1I3,Emotional,230,221,4.917391304,4.918552036,P4L2I3,Sentiment,133,131,4.947368421,4.946564885,P4L3I1, very dry T-Zone quickly,27,27,5,5,P4L4I878, cannot say enough good things about this product,P4R629,5,Yes,Yes,No,7,0,,Blackheads
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I4,Price,81,78,4.925925926,4.923076923,P4L3I27, absorbs very well,35,33,4.878787879,4.885714286,P4L4I879, bigger tub is so worth the money,P4R629,5,Yes,Yes,No,7,0,,Blackheads
Positive,P4L1I4,Product,443,423,4.749435666,4.747044917,P4L2I13,Odor,60,59,4.716666667,4.711864407,P4L3I1, very dry T-Zone quickly,26,26,4.846153846,4.846153846,P4L4I880, has no fragrance,P4R629,5,Yes,Yes,No,7,0,,Blackheads
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I27, absorbs very well,24,24,4.958333333,4.958333333,P4L4I881, recent acne breakout,P4R631,5,No,Yes,No,0,0,,Sun Damage
Positive,P4L1I2,Performance,1025,989,4.829268293,4.826086957,P4L2I2,Skin,896,871,4.819196429,4.815154994,P4L3I50, to buy the value size about 2 months ago,58,57,4.789473684,4.793103448,P4L4I447, dry skin,P4R631,5,No,Yes,No,0,0,,Sun Damage
